Tumor_Sample_Barcode	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Splice_Site	total
TCGA-AB-2911	0	0	0	0	1	0	1	2
TCGA-AB-2948	0	1	0	0	1	0	0	2
TCGA-AB-2957	0	0	0	0	2	0	0	2
TCGA-AB-2973	0	0	0	0	2	0	0	2
TCGA-AB-2975	0	0	0	0	1	1	0	2
TCGA-AB-2823	1	0	0	0	0	0	0	1
TCGA-AB-2834	0	0	0	0	1	0	0	1
TCGA-AB-2840	0	0	0	1	0	0	0	1
TCGA-AB-2842	0	0	0	0	1	0	0	1
TCGA-AB-2848	0	1	0	0	0	0	0	1
TCGA-AB-2866	0	0	0	0	1	0	0	1
TCGA-AB-2883	0	0	0	0	0	0	1	1
TCGA-AB-2909	0	0	0	1	0	0	0	1
TCGA-AB-2918	0	0	0	1	0	0	0	1
TCGA-AB-2933	0	0	0	0	1	0	0	1
TCGA-AB-2942	0	0	0	1	0	0	0	1
TCGA-AB-2946	0	0	0	0	1	0	0	1
TCGA-AB-2954	0	0	0	0	1	0	0	1
TCGA-AB-2982	0	0	0	0	1	0	0	1
TCGA-AB-2903	0	0	0	0	0	0	0	0
