Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT4G08460	-0.425420021132835	5.83342111348329	-4.91743098411175	7.56539205464522e-05	0.0591596418107738	1.56947294110313
AT5G07870	0.82153070820947	5.09862023730426	4.88762967582995	8.11423304754991e-05	0.0591596418107738	1.53708753037668
AT1G15380	-0.684573293362365	7.67567858822961	-4.88741686754459	8.11829385371493e-05	0.0591596418107738	1.47545137974923
AT3G27940	1.43893875711441	-0.429816414814515	4.8748969581659	8.36085390374408e-05	0.0591596418107738	0.63738241651033
AT3G13440	-0.477088196246263	5.52630901153913	-4.87169014555074	8.42415371780652e-05	0.0591596418107738	1.47938180905856
AT3G45980	-0.327860843979223	7.22428307096748	-4.86025685869384	8.65380960378058e-05	0.0591596418107738	1.41232066327248
AT1G53060	-0.92460987353282	1.37123044253843	-4.84662595212918	8.93590142005705e-05	0.0591596418107738	1.34489489377339
AT2G30620	-0.605409497510765	7.67556967735831	-4.84450653705216	8.98059078721424e-05	0.0591596418107738	1.37650245983628
AT4G34135	0.989423803821317	6.38826435503799	4.81781445658367	9.56314724147277e-05	0.0600592441298282	1.32511244516927
AT3G23060	1.87753647415327	-0.0578032454991135	4.80322906430479	9.89746974254762e-05	0.0600592441298282	0.604479872427177
AT3G13330	0.594363168174955	7.32723180896253	4.80005033429938	9.97188588493352e-05	0.0600592441298282	1.27444674374776
AT1G30080	0.766665845975349	4.73980743447718	4.7763203307107	0.00010545587708541	0.0617502746933457	1.31486720673168
AT4G34138	1.26420622299171	6.28390693644523	4.7601145062676	0.000109564421883991	0.0624221084679605	1.20179302171718
AT1G76690	0.920708085116899	5.44426218324036	4.69235707194269	0.000128569450442007	0.0713222109294083	1.0700834424241
AT3G61830	-0.731253490353473	3.91308342065644	-4.59384483016435	0.000162298763944335	0.087724562665297	0.969328097875984
AT3G49940	0.638280908079422	6.78656508417042	4.55930374138678	0.000176130687170836	0.0921507998134946	0.721651079032928
AT3G45860	0.998603384954453	0.692647386103314	4.55193782239364	0.000179230682749207	0.0921507998134946	0.763674218998884
AT3G63430	-1.18135361720955	3.70736497939476	-4.52988369239004	0.000188844727688463	0.0947820680874475	0.852064153680585
AT1G02220	0.806591899367457	4.86416825826299	4.51825251071081	0.000194122498214677	0.0951651688922185	0.726954276408077
AT1G12160	-0.552333736347156	4.95681683546944	-4.46387666485317	0.00022083461386193	0.105771814560276	0.596232935378779
AT5G33390	-2.90783602598776	-2.70374592023487	-4.45451423162892	0.000225793721784271	0.105771814560276	-1.29669684163226
AT5G15950	-1.53213701490944	5.51637383005448	-4.4333989829588	0.000237392957286449	0.108787903034747	0.493470615639652
AT3G54220	-0.557591265737871	5.9157910358377	-4.3930990921937	0.000261219165238733	0.117159574536862	0.35678172243423
AT1G01510	-0.346377825370188	5.65790979723348	-4.37467542153146	0.000272897817336919	0.119276768422238	0.336372173157738
AT5G62630	0.901356874665031	5.76065582712339	4.36185888506986	0.000281329946441071	0.119276768422238	0.320191313106446
AT1G28290	-0.600611640096124	9.26564411555982	-4.35949345506219	0.000282914536105879	0.119276768422238	0.266505795363327
AT3G59480	-1.45113463710743	2.16174096728723	-4.34862372821182	0.000290312042346891	0.119995644170048	0.408162432697001
AT5G23350	0.868815350189469	3.72259307946969	4.32657910818785	0.000305916054739547	0.121137803343205	0.376181292512904
AT1G53480	-0.769201175362529	2.88418900320685	-4.32322370480146	0.000308363817639537	0.121137803343205	0.289781356806472
AT4G27980	1.29758918820395	-0.374587061443133	4.32056801783255	0.000310315056002516	0.121137803343205	-0.27376985237233
AT5G08100	-0.525506394390101	5.0387969772882	-4.28645077090266	0.000336511598976601	0.127991999750546	0.203050706358298
AT4G21910	0.582748558700589	5.39470157626656	4.28208911730915	0.000340016697629534	0.127991999750546	0.149639313597978
AT5G36130	2.67138425462589	-0.643727372211173	4.27140408687481	0.000348758744800293	0.128979549831406	-0.434623318634661
AT4G35900	1.01961214572028	1.8446583803974	4.25204397805923	0.000365176033460587	0.1327225997474	0.191849733446879
AT4G05095	-1.54545055041975	0.416568721506198	-4.20907122441116	0.00040443540043531	0.14209568893208	-0.0256589358638468
AT3G29644	1.18054361251286	1.48367364054953	4.20905922547833	0.00040444693244425	0.14209568893208	0.105650414200629
AT1G78150	-0.311763439890685	6.7246256251889	-4.17461809569318	0.000438941236459814	0.151686578107752	-0.167241693911796
AT5G48360	-1.05048747285332	4.55485966597894	-4.16536628686142	0.000448698634750963	0.152557535815327	-0.0301687580250576
AT3G18170	-1.75807830248688	5.51663341106124	-4.15026675178769	0.00046509124646033	0.155621007545774	-0.159095935566005
AT1G73600	-1.56014006875723	5.81583854222349	-4.10715569115829	0.000515262494973303	0.166263205500825	-0.239450683348744
AT5G01740	-0.994359666865052	3.5812582766094	-4.10042289876691	0.000523571800770055	0.166263205500825	-0.145243091070248
AT1G21090	-0.770681129106265	4.19503519752619	-4.09753626743447	0.000527175201322074	0.166263205500825	-0.153683241109118
