Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
AT2G35060	-0.700255345363002	5.84716358226224	-7.58154855541501	2.11121620711711e-07	0.000105937506383726	7.26167207009419
AT2G17265	0.737035379087989	5.91143068721256	7.57013027922744	2.16096431427904e-07	0.000105937506383726	7.23511858718632
AT1G69830	-1.74161963414936	3.49269194766423	-7.54605032012741	2.26988468997891e-07	0.000108748111965353	7.17933969048251
AT2G24580	-0.850311786639646	6.05996162586534	-7.48723209062029	2.56042059932547e-07	0.000119941480519513	7.06362237921856
AT3G48410	1.07264846932133	4.32195880850297	7.45205392686711	2.75227679433546e-07	0.000126126075705634	7.03133055198742
AT1G65060	-1.58736757205562	4.99197442095701	-7.43906714940028	2.82680124982746e-07	0.000126785043290134	6.99413322429825
AT1G13670	1.15122195860702	4.95068763376808	7.33266949633984	3.52150433227697e-07	0.00015465273192583	6.78143261404642
AT5G11150	0.849372513897587	4.15045406794109	7.31069701704633	3.68568899481862e-07	0.000155986050443271	6.74927769874009
AT5G49645	1.0289883555785	4.63370901849539	7.30410614166624	3.73646168902421e-07	0.000155986050443271	6.73251990649671
AT3G07650	1.35666684357602	3.75453431754415	7.29931071327386	3.77385605911141e-07	0.000155986050443271	6.71135915100739
AT3G45860	-1.79961901901314	0.692647386103314	-7.21544816786128	4.49401219630079e-07	0.000182180340573117	5.71159982454742
AT3G44326	-1.51932358359329	3.8559538775975	-7.19953822637066	4.64590296561514e-07	0.000184784216066353	6.52474792578164
AT4G36180	1.26195060235987	6.40346577830633	7.17545478984362	4.88596421811723e-07	0.00018973874801684	6.42408718716768
AT4G28100	0.818724241393769	4.57468056142754	7.16918928774343	4.95048915603711e-07	0.00018973874801684	6.46296213626175
AT4G21960	0.703518659623684	10.4674787857034	7.15173965834769	5.13486224882734e-07	0.000191301074916423	6.38238305357485
AT3G52920	0.563732498093043	5.80924762298394	7.14823370222169	5.17275202572871e-07	0.000191301074916423	6.37353863607301
AT3G27870	1.00606389681205	3.65865461553486	7.13843526714498	5.28018148243968e-07	0.000191591555815347	6.39265926213069
AT2G45660	1.90633059856249	3.04908610080569	7.13107562209458	5.36238225479386e-07	0.000191591555815347	6.26652469693935
AT4G31450	-0.966084544522449	5.94992347017106	-7.09602398685197	5.77235973723099e-07	0.000197925728592842	6.26589640421911
AT2G21660	1.4766680883977	8.48406083289528	7.07555513385922	6.0265758983107e-07	0.000197925728592842	6.21228734033332
AT5G48880	-1.47609878679373	5.0372602597246	-7.07470038212942	6.0374391404103e-07	0.000197925728592842	6.24549252086021
AT5G07000	-1.44003617394242	3.43191116562763	-7.07157710761429	6.07730538416234e-07	0.000197925728592842	6.25036733405019
AT3G48690	-1.07320541692176	6.69516345897781	-7.06995457019844	6.09812277574275e-07	0.000197925728592842	6.20118930434424
AT3G15810	-0.571391162910564	6.06143969490261	-7.0695734738806	6.10302294048137e-07	0.000197925728592842	6.20479777079227
AT3G17609	0.75991193916165	5.18515780748115	7.04496927779389	6.42812628660381e-07	0.00020116348715811	6.18173906690294
AT2G33620	1.56501460682765	4.31534175513695	7.04059025606559	6.48783221128713e-07	0.00020116348715811	6.20283077202958
AT5G27670	0.907600447292555	5.74101834466623	7.03421864276211	6.57572811685544e-07	0.00020116348715811	6.14387673694903
AT1G63410	1.26790489001457	2.52282774970751	7.03358231185363	6.58457334625692e-07	0.00020116348715811	6.04794168131708
AT1G15550	-1.18796096621967	5.54313361533237	-7.02426959733168	6.71543452075132e-07	0.000202230513853483	6.12494663544343
AT4G12400	-1.88573990612193	6.0905264053955	-7.00201370722304	7.03913284677954e-07	0.000208992845648046	6.07505603263237
AT4G09030	0.794849845273163	5.68238142630747	6.98409039186158	7.31147457152705e-07	0.000214063727733042	6.04025420521215
AT5G59590	-1.93572373513511	4.18811000786564	-6.97460646043947	7.45994759977811e-07	0.000215418760826469	6.06930255009976
AT2G34190	1.34229256532841	4.51993083668073	6.95673934167578	7.74815252243811e-07	0.000220717642125669	6.02615002147303
AT1G29160	0.824046822718964	4.26429655798165	6.93886704536865	8.04792178241371e-07	0.000226200254897708	5.99307685139303
AT1G21090	1.25270912750788	4.19503519752619	6.93161758900461	8.17289594063625e-07	0.000226690324248174	5.98149079537931
AT3G51740	1.67577149680007	5.59207925357199	6.88912788879866	8.94665187769294e-07	0.00024492911893736	5.85123143569771
AT4G20890	0.691527599384611	7.48539319434889	6.87917480740545	9.13856161543562e-07	0.000246975485709465	5.79594708998557
AT1G19880	0.592152024671535	5.99682963611456	6.84609754509662	9.80732952646559e-07	0.000261694311921386	5.73795083642123
AT5G19780	0.548795647540769	8.13474889132668	6.80765438314928	1.06482536161417e-06	0.000279187351375233	5.64559692582913
AT4G18510	1.96561284874177	3.03844749474618	6.79550935831774	1.09290672217803e-06	0.000279187351375233	5.63977426616685
AT3G13224	-0.620785904828267	4.64349560876308	-6.79323545617379	1.09824846613488e-06	0.000279187351375233	5.67961485964675
AT1G65590	-0.842635534424188	6.31877600633379	-6.79280313654585	1.0992670855856e-06	0.000279187351375233	5.62011727214601
AT5G10170	1.02502758624697	6.18148962194618	6.75656478051333	1.18820104548596e-06	0.000298181881414809	5.54476080017142
AT1G19600	0.998362358426157	6.45980929125162	6.7366588848048	1.24016933345071e-06	0.000307561994695777	5.4994579463338
AT4G12030	2.00936083758162	5.11095976248788	6.71260798665214	1.30609071401695e-06	0.000320144095947412	5.4961114927711
AT1G47970	0.673539581996801	6.2445914994238	6.7051111950179	1.32736709500233e-06	0.00032161952140976	5.43346965442988
AT1G28290	0.923525744526355	9.26564411555982	6.67918250388325	1.40374215658449e-06	0.000334054813618591	5.37744514152508
AT5G54470	2.20041289168283	2.29725769545124	6.67699685152702	1.4103832263783e-06	0.000334054813618591	5.2471553564366
AT5G25110	-1.72794898534587	4.39806719533011	-6.64996009284822	1.49525629411495e-06	0.000347683465646101	5.3951239202579
AT5G61230	-0.538265371090125	6.11125544260512	-6.6482153151258	1.50091059647985e-06	0.000347683465646101	5.31431986579548
AT1G60470	4.24124803738617	1.62698239720538	6.64281218900767	1.51856031412431e-06	0.000347948385018918	4.67985691434136
